,experiment,hour,device_make,platform_os,browser,yes
0,exposed,5,Samsung,101,6,1.0
1,exposed,10,Apple,101,15,0.0
2,control,21,Apple,101,15,1.0
3,exposed,7,Samsung,101,6,1.0
4,exposed,11,Apple,101,15,0.0
5,control,0,Apple,178,15,0.0
6,exposed,17,Apple,101,7,0.0
7,control,14,Apple,101,7,0.0
8,control,3,Samsung,162,6,1.0
9,control,23,Apple,101,6,0.0
10,control,2,Apple,101,15,1.0
11,control,17,Apple,101,7,0.0
12,exposed,1,Samsung,101,6,1.0
13,exposed,17,Samsung,101,6,1.0
14,exposed,20,Samsung,101,6,1.0
15,exposed,6,Google,101,6,1.0
16,exposed,3,Google,101,6,1.0
17,exposed,4,Google,101,6,1.0
18,exposed,2,Samsung,155,15,1.0
19,exposed,17,Samsung,101,6,1.0
20,control,5,Apple,101,7,0.0
21,exposed,9,Samsung,101,6,1.0
22,exposed,17,Apple,101,7,0.0
23,control,2,Apple,101,7,0.0
24,exposed,6,Google,101,6,1.0
25,control,19,Apple,101,15,1.0
26,exposed,18,Samsung,101,6,1.0
27,exposed,14,Samsung,101,6,0.0
28,control,17,Apple,101,15,0.0
29,control,21,Samsung,162,6,0.0
30,exposed,13,Samsung,101,6,1.0
31,control,6,Apple,101,6,0.0
32,control,0,Apple,101,15,0.0
33,exposed,16,Samsung,101,6,1.0
34,control,14,Samsung,162,6,1.0
35,control,1,Apple,101,15,1.0
36,control,2,Apple,178,6,0.0
37,control,19,Apple,173,6,0.0
38,exposed,15,Samsung,101,15,0.0
39,exposed,4,Google,101,6,1.0
40,exposed,0,Samsung,155,6,1.0
41,exposed,3,Samsung,101,6,1.0
42,exposed,17,Samsung,101,6,1.0
43,exposed,16,Motorola,162,15,0.0
44,control,3,Apple,101,7,0.0
45,control,20,Apple,174,7,0.0
46,exposed,8,Apple,101,15,1.0
47,control,21,Apple,101,6,0.0
48,exposed,13,Google,101,6,1.0
49,exposed,14,Google,101,6,1.0
50,control,5,Apple,101,6,0.0
51,exposed,1,Google,101,6,1.0
52,exposed,13,Samsung,155,15,1.0
53,exposed,0,Samsung,162,15,1.0
54,control,1,Apple,178,15,0.0
55,exposed,7,Apple,178,7,1.0
56,exposed,3,Motorola,162,6,1.0
57,control,4,Apple,101,15,1.0
58,exposed,23,Apple,175,6,0.0
59,exposed,3,Google,101,6,0.0
60,exposed,0,Motorola,156,15,0.0
61,exposed,9,Samsung,155,6,1.0
62,exposed,20,Google,101,6,0.0
63,control,13,Apple,101,6,1.0
64,exposed,8,Samsung,101,6,1.0
65,exposed,22,Google,101,6,1.0
66,control,6,Apple,171,7,0.0
67,control,20,Apple,178,15,0.0
68,control,3,Amazon,155,6,0.0
69,control,14,Apple,101,6,0.0
70,exposed,23,Samsung,101,6,1.0
71,exposed,11,Apple,176,15,1.0
72,control,0,Apple,101,7,0.0
73,control,6,Amazon,155,6,0.0
74,exposed,17,Samsung,101,6,1.0
75,exposed,12,Apple,101,15,1.0
76,control,1,Apple,174,6,0.0
77,control,13,Apple,101,7,0.0
78,exposed,1,Google,101,6,1.0
79,control,16,Amazon,155,6,0.0
80,exposed,3,Samsung,101,6,1.0
81,control,4,Samsung,162,6,0.0
82,exposed,2,Samsung,101,6,1.0
83,control,21,Apple,101,6,0.0
84,exposed,6,Samsung,155,15,1.0
85,exposed,13,Samsung,101,6,1.0
86,exposed,12,Samsung,101,15,1.0
87,exposed,2,Apple,101,15,0.0
88,exposed,1,Motorola,156,15,0.0
89,exposed,13,Samsung,101,6,1.0
90,exposed,22,Google,101,6,1.0
91,exposed,21,Apple,174,7,1.0
92,exposed,0,Amazon,155,6,0.0
93,exposed,18,Google,101,6,1.0
94,control,7,Apple,171,7,1.0
95,exposed,19,Apple,101,7,1.0
96,control,15,Apple,101,7,0.0
97,control,17,Apple,101,7,0.0
98,exposed,22,Google,101,6,1.0
99,exposed,0,Samsung,101,6,1.0
100,exposed,1,Samsung,155,15,1.0
101,exposed,18,Google,101,6,1.0
102,exposed,23,Apple,101,7,0.0
103,exposed,13,Samsung,155,15,1.0
104,exposed,19,Samsung,101,6,1.0
105,exposed,23,Samsung,101,6,1.0
106,control,8,Apple,101,7,0.0
107,control,17,Apple,178,6,0.0
108,exposed,16,Google,101,6,1.0
109,control,15,Apple,101,15,0.0
110,control,19,Apple,101,6,0.0
111,control,2,Apple,101,6,0.0
112,control,12,Apple,101,7,0.0
113,exposed,15,Google,101,6,1.0
114,control,19,Apple,101,7,1.0
115,exposed,4,Google,101,6,1.0
116,exposed,3,Samsung,101,15,0.0
117,exposed,0,LG,139,6,1.0
118,exposed,5,Samsung,162,15,1.0
119,exposed,9,Samsung,101,6,1.0
120,exposed,18,Google,101,6,1.0
121,exposed,16,Google,101,6,0.0
122,exposed,1,Google,101,6,0.0
123,control,1,Samsung,155,6,0.0
124,control,12,Apple,178,15,0.0
125,exposed,19,Samsung,101,6,1.0
126,exposed,14,Apple,101,7,0.0
127,exposed,20,Apple,101,7,0.0
128,exposed,5,Google,101,6,1.0
129,exposed,22,Samsung,162,15,1.0
130,exposed,19,Amazon,155,6,0.0
131,exposed,0,Samsung,179,15,0.0
132,exposed,21,Apple,178,7,1.0
133,control,7,Samsung,162,6,0.0
134,exposed,2,Google,101,6,1.0
135,exposed,1,Samsung,101,6,0.0
136,control,0,Apple,101,7,1.0
137,control,7,Apple,101,7,0.0
138,control,6,Apple,157,7,1.0
139,control,12,Apple,101,15,0.0
140,exposed,4,Google,101,6,0.0
141,exposed,5,Google,179,6,1.0
142,exposed,3,Apple,101,15,0.0
143,exposed,6,Google,101,6,1.0
144,control,2,Apple,101,7,0.0
145,control,3,Apple,101,15,0.0
146,exposed,15,Samsung,162,6,0.0
147,exposed,9,Google,101,6,1.0
148,control,2,Apple,101,7,1.0
149,control,6,Apple,178,15,0.0
150,exposed,8,Google,101,6,1.0
151,exposed,4,Samsung,101,15,1.0
152,exposed,20,Samsung,101,6,1.0
153,control,4,Apple,101,15,0.0
154,exposed,0,Samsung,162,6,0.0
155,exposed,5,Apple,101,15,0.0
156,control,6,Apple,101,7,0.0
157,exposed,16,OnePlus,162,6,0.0
158,exposed,3,Samsung,101,6,1.0
159,exposed,19,Google,101,6,1.0
160,exposed,0,Samsung,101,6,1.0
161,exposed,5,LG,156,15,1.0
162,control,15,Apple,178,7,0.0
163,exposed,23,Apple,178,7,0.0
164,exposed,3,Samsung,101,6,1.0
165,control,18,T-Mobile,162,6,0.0
166,exposed,2,Apple,101,15,1.0
167,control,2,Apple,101,7,0.0
168,exposed,3,Apple,178,7,0.0
169,exposed,14,Apple,101,15,0.0
170,control,2,Apple,101,7,1.0
171,exposed,11,Samsung,101,15,1.0
172,exposed,16,Apple,101,7,0.0
173,exposed,5,TCL,162,6,1.0
174,control,16,Samsung,139,6,0.0
175,exposed,1,Google,101,15,1.0
176,exposed,19,Google,101,6,1.0
177,exposed,7,Samsung,156,15,1.0
178,exposed,10,OnePlus,162,6,1.0
179,exposed,14,Samsung,101,6,0.0
180,exposed,18,Apple,101,7,0.0
181,exposed,16,Apple,180,7,0.0
